TariffID,TariffPremium,age,gender
6,160.33,46,female
3,82.9,43,male
5,119.35,51,male
5,119.35,42,female
4,114.48,58,male
1,37.67,19,male
3,82.9,53,male
5,119.35,56,female
1,37.67,24,male
3,82.9,28,non-binary
5,119.35,47,female
5,119.35,35,female
5,119.35,28,female
5,119.35,60,female
3,82.9,43,male
3,82.9,61,non-binary
5,119.35,44,female
3,82.9,25,non-binary
5,119.35,47,female
3,82.9,41,male
3,82.9,65,male
3,82.9,55,non-binary
5,119.35,22,female
3,82.9,33,male
3,82.9,44,non-binary
5,119.35,58,non-binary
3,82.9,45,male
1,37.67,22,male
5,119.35,40,female
5,119.35,57,female
3,82.9,28,male
5,119.35,35,female
5,119.35,48,non-binary
3,82.9,28,male
5,119.35,56,non-binary
3,82.9,22,non-binary
3,82.9,46,non-binary
3,82.9,38,male
3,82.9,63,non-binary
3,82.9,52,non-binary
1,37.67,19,male
4,114.48,59,male
1,37.67,21,male
5,119.35,39,non-binary
4,114.48,57,male
4,114.48,48,male
5,119.35,22,female
5,119.35,58,female
3,82.9,30,male
3,82.9,30,non-binary
3,82.9,65,male
5,119.35,58,non-binary
3,82.9,55,non-binary
3,82.9,63,non-binary
3,82.9,21,non-binary
5,119.35,65,female
3,82.9,44,non-binary
5,119.35,56,male
5,119.35,48,non-binary
5,119.35,60,non-binary
5,119.35,52,female
3,82.9,27,male
5,119.35,64,non-binary
3,82.9,43,non-binary
4,114.48,52,male
3,82.9,30,male
3,82.9,43,non-binary
5,119.35,48,non-binary
1,37.67,21,male
3,82.9,43,non-binary
5,119.35,64,male
3,82.9,33,male
5,119.35,64,female
4,114.48,57,male
3,82.9,42,non-binary
3,82.9,25,male
3,82.9,19,female
3,82.9,38,male
5,119.35,50,female
3,82.9,32,male
3,82.9,27,male
5,119.35,27,female
5,119.35,28,female
3,82.9,24,non-binary
5,119.35,51,male
5,119.35,24,female
3,82.9,33,non-binary
3,82.9,23,non-binary
4,114.48,52,male
3,82.9,34,male
3,82.9,42,non-binary
5,119.35,61,female
3,82.9,43,non-binary
3,82.9,55,male
3,82.9,26,male
3,82.9,36,male
3,82.9,24,non-binary
3,82.9,43,male
3,82.9,33,male
5,119.35,27,female
