TariffID,TariffPremium,age,gender
5,119.35,23,female
5,119.35,33,female
3,82.9,45,male
5,119.35,30,female
3,82.9,21,non-binary
5,119.35,56,non-binary
4,114.48,52,male
3,82.9,50,non-binary
3,82.9,40,male
3,82.9,28,male
5,119.35,53,non-binary
5,119.35,52,female
5,119.35,51,non-binary
5,119.35,57,non-binary
3,82.9,28,male
5,119.35,22,female
5,119.35,31,non-binary
5,119.35,30,male
3,82.9,40,male
5,119.35,45,female
5,119.35,38,female
5,119.35,27,female
6,160.33,37,female
5,119.35,53,female
3,82.9,28,male
1,37.67,24,male
5,119.35,56,male
5,119.35,48,female
3,82.9,33,non-binary
5,119.35,65,female
5,119.35,62,female
3,82.9,53,male
5,119.35,30,female
5,119.35,58,female
5,119.35,62,female
5,119.35,42,female
3,82.9,46,non-binary
5,119.35,36,female
5,119.35,23,female
5,119.35,56,female
3,82.9,18,female
3,82.9,55,male
3,82.9,26,male
3,82.9,33,male
3,82.9,54,non-binary
5,119.35,46,female
3,82.9,18,female
3,82.9,32,non-binary
5,119.35,22,female
3,82.9,45,male
3,82.9,38,male
6,160.33,33,female
5,119.35,61,non-binary
5,119.35,65,male
3,82.9,20,non-binary
5,119.35,29,non-binary
5,119.35,61,female
5,119.35,58,non-binary
3,82.9,29,male
3,82.9,26,male
5,119.35,62,female
5,119.35,60,female
3,82.9,19,female
5,119.35,23,female
3,82.9,42,male
3,82.9,42,non-binary
5,119.35,60,female
5,119.35,56,male
5,119.35,49,female
5,119.35,51,non-binary
3,82.9,53,male
3,82.9,31,non-binary
3,82.9,30,male
5,119.35,26,female
5,119.35,50,female
3,82.9,33,male
1,37.67,23,male
3,82.9,30,male
5,119.35,49,female
3,82.9,51,male
6,160.33,64,female
5,119.35,53,female
3,82.9,61,male
3,82.9,54,male
3,82.9,61,non-binary
5,119.35,47,male
3,82.9,39,male
3,82.9,53,male
5,119.35,45,male
5,119.35,33,male
1,37.67,23,male
3,82.9,42,non-binary
5,119.35,44,female
3,82.9,27,non-binary
5,119.35,44,non-binary
3,82.9,65,non-binary
3,82.9,28,non-binary
5,119.35,54,male
4,114.48,49,non-binary
5,119.35,52,female
