TariffID,TariffPremium
4,114.48
4,114.48
4,114.48
4,114.48
4,114.48
4,114.48
4,114.48
4,114.48
4,114.48
6,160.33
6,160.33
6,160.33
4,114.48
4,114.48
6,160.33
4,114.48
4,114.48
6,160.33
4,114.48
4,114.48
4,114.48
4,114.48
6,160.33
4,114.48
4,114.48
4,114.48
4,114.48
6,160.33
6,160.33
4,114.48
4,114.48
4,114.48
4,114.48
6,160.33
4,114.48
6,160.33
4,114.48
4,114.48
4,114.48
6,160.33
4,114.48
4,114.48
4,114.48
4,114.48
6,160.33
4,114.48
4,114.48
4,114.48
4,114.48
4,114.48
4,114.48
4,114.48
4,114.48
6,160.33
4,114.48
4,114.48
6,160.33
4,114.48
6,160.33
4,114.48
4,114.48
6,160.33
4,114.48
6,160.33
6,160.33
4,114.48
6,160.33
4,114.48
6,160.33
4,114.48
4,114.48
4,114.48
4,114.48
4,114.48
4,114.48
4,114.48
4,114.48
6,160.33
6,160.33
6,160.33
4,114.48
6,160.33
4,114.48
6,160.33
4,114.48
4,114.48
4,114.48
4,114.48
4,114.48
6,160.33
4,114.48
4,114.48
4,114.48
4,114.48
4,114.48
4,114.48
4,114.48
6,160.33
4,114.48
4,114.48
